,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'health'}),frozenset({'adulthood'}),0.061068702290076333,0.015267175572519083,0.015267175572519083,0.25,16.375,0.014334828972670589,1.3129770992366412
1,frozenset({'adulthood'}),frozenset({'health'}),0.015267175572519083,0.061068702290076333,0.015267175572519083,1.0,16.375,0.014334828972670589,inf
2,frozenset({'healthhealth'}),frozenset({'adulthood'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
3,frozenset({'adulthood'}),frozenset({'healthhealth'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
4,frozenset({'assess'}),frozenset({'practic'}),0.030534351145038167,0.15267175572519084,0.015267175572519083,0.5,3.275,0.010605442573276615,1.6946564885496183
5,frozenset({'practic'}),frozenset({'assess'}),0.15267175572519084,0.030534351145038167,0.015267175572519083,0.09999999999999999,3.275,0.010605442573276615,1.077184054283291
6,frozenset({'chemic'}),frozenset({'chemist'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
7,frozenset({'chemist'}),frozenset({'chemic'}),0.015267175572519083,0.015267175572519083,0.015267175572519083,1.0,65.5,0.01503408892255696,inf
8,frozenset({'program'}),frozenset({'comput'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
9,frozenset({'comput'}),frozenset({'program'}),0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
10,frozenset({'programm'}),frozenset({'comput'}),0.015267175572519083,0.030534351145038167,0.015267175572519083,1.0,32.75,0.014801002272594836,inf
11,frozenset({'comput'}),frozenset({'programm'}),0.030534351145038167,0.015267175572519083,0.015267175572519083,0.5,32.75,0.014801002272594836,1.9694656488549618
12,frozenset({'develop'}),frozenset({'concept'}),0.11450381679389313,0.015267175572519083,0.015267175572519083,0.13333333333333333,8.733333333333334,0.013519025697803158,1.1362301820317087
13,frozenset({'concept'}),frozenset({'develop'}),0.015267175572519083,0.11450381679389313,0.015267175572519083,1.0,8.733333333333334,0.013519025697803158,inf
14,frozenset({'conceptu'}),frozenset({'research'}),0.03816793893129771,0.09923664122137404,0.015267175572519083,0.39999999999999997,4.030769230769231,0.011479517510634578,1.501272264631043
15,frozenset({'research'}),frozenset({'conceptu'}),0.09923664122137404,0.03816793893129771,0.015267175572519083,0.15384615384615385,4.030769230769231,0.011479517510634578,1.1367106176266482
16,frozenset({'curriculum'}),frozenset({'student'}),0.022900763358778626,0.12213740458015267,0.022900763358778626,1.0,8.1875,0.020103723559233146,inf
